Order_ID,Date_Time,Category,Demand_Level,Traffic_Congestion,Delivery_Mode,Driver_Availability,Distance_km,Base_Price,Weather_Impact,Special_Event,Payment_Method,Final_Price
2000,2025-03-31 02:15:00,Groceries,Medium,Heavy,Scheduled,Low,2.1,14.09,Stormy,Holiday,E-Wallet,33.95
2001,2025-03-12 13:55:00,Pharmacy,High,Moderate,Standard,High,9.5,9.75,Stormy,Holiday,Debit Card,19.58
2002,2025-03-08 02:44:00,Pharmacy,Low,Moderate,Express,High,2.7,8.84,Snowy,None,Credit Card,14.7
2003,2025-03-26 02:48:00,Groceries,High,Light,Standard,Low,0.7,13.79,Rainy,Holiday,Credit Card,36.36
2004,2025-03-28 07:17:00,Electronics,High,Light,Standard,High,7.7,9.97,Rainy,Holiday,Cash,18.2
2005,2025-03-04 11:11:00,Pharmacy,High,Heavy,Express,Medium,4.3,2.84,Stormy,None,UPI,7.44
2006,2025-03-31 00:05:00,Food Delivery,Low,Heavy,Standard,High,5.7,2.86,Stormy,Festival,Credit Card,4.82
2007,2025-03-13 13:35:00,Pharmacy,Low,Heavy,Express,Low,7.5,14.32,Rainy,Sports Event,Cash,48.79
2008,2025-03-21 02:47:00,Fashion,High,Heavy,Standard,Medium,5.0,2.55,Stormy,Sports Event,E-Wallet,6.21
2009,2025-03-01 18:29:00,Pharmacy,Low,Light,Standard,Medium,3.4,3.65,Clear,None,Credit Card,3.65
2010,2025-03-08 07:59:00,Groceries,High,Heavy,Standard,Low,3.8,3.95,Clear,Sports Event,Credit Card,10.41
2011,2025-03-15 21:57:00,Electronics,Low,Heavy,Express,Medium,7.2,6.26,Clear,None,Debit Card,10.52
2012,2025-03-01 22:57:00,Fashion,Low,Light,Standard,Medium,9.2,2.34,Rainy,None,Debit Card,2.81
2013,2025-03-11 15:13:00,Groceries,Medium,Heavy,Scheduled,Medium,1.3,13.92,Stormy,None,Credit Card,19.84
2014,2025-03-18 23:16:00,Fashion,High,Light,Standard,High,6.1,11.06,Rainy,Sports Event,E-Wallet,20.19
2015,2025-03-21 03:45:00,Pharmacy,High,Light,Express,Medium,9.7,7.7,Stormy,Sports Event,Cash,21.86
2016,2025-03-02 03:48:00,Electronics,High,Heavy,Standard,High,7.3,13.67,Rainy,Holiday,UPI,29.94
2017,2025-03-06 06:23:00,Fashion,Medium,Heavy,Standard,High,9.2,5.52,Rainy,Festival,Debit Card,10.23
2018,2025-03-03 07:53:00,Fashion,High,Moderate,Express,Medium,9.1,10.35,Clear,Festival,Credit Card,26.94
2019,2025-03-01 16:36:00,Groceries,Low,Heavy,Express,Medium,3.0,12.94,Clear,Sports Event,E-Wallet,28.26
2020,2025-03-21 21:36:00,Fashion,High,Light,Scheduled,Medium,2.4,14.56,Stormy,None,E-Wallet,20.44
2021,2025-03-24 20:06:00,Groceries,Medium,Heavy,Express,High,7.9,3.57,Rainy,Sports Event,UPI,9.26
2022,2025-03-02 11:34:00,Food Delivery,Medium,Moderate,Scheduled,Medium,1.2,3.0,Snowy,None,UPI,3.92
2023,2025-03-23 03:23:00,Food Delivery,Medium,Moderate,Express,Medium,8.6,12.55,Clear,Holiday,Credit Card,27.64
2024,2025-03-16 11:19:00,Pharmacy,Medium,Moderate,Standard,Medium,3.8,11.46,Rainy,Holiday,E-Wallet,21.63
2025,2025-03-14 04:45:00,Groceries,Low,Heavy,Standard,Medium,2.7,3.6,Snowy,Holiday,UPI,6.74
2026,2025-03-20 09:12:00,Electronics,Low,Heavy,Scheduled,Medium,5.2,14.83,Clear,Sports Event,Credit Card,20.82
2027,2025-03-15 23:35:00,Electronics,Medium,Heavy,Standard,Medium,5.6,10.2,Stormy,Sports Event,Credit Card,21.0
